workers,hits,score,submitTime,answer0,answer1,answer2,status,assignmentId
1873618f1efcb0078e5dac53856672032982d53f82a493d88a3217cdfb4a29ad,8b42758dada8e2ab5752c7e37163a765fd0fcbbcdbf6a0bbe63fc55ddc4f0d5d,task2,2024-10-11 16:58:58+09:00,350,renewable,be,Submitted,12f9e645ba85832e9da9308a4958fe99d34a63e53daae12c47573cccd1e49a12
8e212558f41e4261c1d07d3cc7d941c4bcd7b17635a047853e62e1434ab77c81,8b42758dada8e2ab5752c7e37163a765fd0fcbbcdbf6a0bbe63fc55ddc4f0d5d,task2,2024-10-11 16:59:20+09:00,50,renewable,be,Submitted,8ca216752d2cfebd5df1749c9d5c6ca7ab169c3c542487cb5d09db5d485f3a21
1b427344c1d17a8bfb8105437af190eeabacc464609a171ba45fb04ea37e1f0d,8b42758dada8e2ab5752c7e37163a765fd0fcbbcdbf6a0bbe63fc55ddc4f0d5d,task2,2024-10-11 16:59:30+09:00,50,store,be,Submitted,775b2eef1a7d08a22c5bb856e3fd13610a1610721e5082f483acf7094617126b
ba423c26bbd2f456cbc71cd9edb28eb179ad402db91891eb39005637010cdfe7,8b42758dada8e2ab5752c7e37163a765fd0fcbbcdbf6a0bbe63fc55ddc4f0d5d,task2,2024-10-11 16:59:47+09:00,50,store,be,Submitted,b56dcaffdd888e1ad53e30972bd9a17fe4420d24726e5ee81210d24a9e8db8bb
4181ac68b20d43b5ecabf1ca56eb47b21deffed8fef74130620c8f020bac6741,8b42758dada8e2ab5752c7e37163a765fd0fcbbcdbf6a0bbe63fc55ddc4f0d5d,task2,2024-10-11 16:59:50+09:00,50,store,be,Submitted,29c9c7d29d2b6253e85fa89b621c8170594d3b370eb2ca5f3d9d3e466fd8fb0f
c078c2144f88e31668981a74ce76a7dfcd8bced1d5aacc5520966867924936fb,8b42758dada8e2ab5752c7e37163a765fd0fcbbcdbf6a0bbe63fc55ddc4f0d5d,task2,2024-10-11 16:59:53+09:00,50,renewable,be,Submitted,0e28d8b9053d428eeeca6938392f7992d94a85a77c8f8baedcc2a46a7e021963
b7a04b08d037101ffe30381fc80ed0ebbd7d9f8c2b94ce52c13ba9738a0915e9,0d62df241e51a5c5e9eebb1990a911a37bb84b24062f8b4bb47f48cebdd372eb,task1,2024-10-11 17:00:02+09:00,50,store,ag,Submitted,a28bc7bf2b922777f25490a32950b38411214114dd83bcc99c8441403f96d945
993eaf110d97fd8a8f38a5a31d0311cbc261a254299b76b1cb21c9a6a3205c1f,0d62df241e51a5c5e9eebb1990a911a37bb84b24062f8b4bb47f48cebdd372eb,task1,2024-10-11 17:00:26+09:00,50,store,be,Submitted,540b491e1c2678c9bc09b13d82a54f705cd9a5a907fa81ebb53b2792c0e42efb
add9107da7d3464031e57b10995a087bf22c9c68bf5517eb4c0cf53d7affc35a,0d62df241e51a5c5e9eebb1990a911a37bb84b24062f8b4bb47f48cebdd372eb,task1,2024-10-11 17:00:40+09:00,50,renewable,ag,Submitted,67a073ced9dafc1b61b7dc0d2be2f8fdda03a17cd0de48a728d10cd253df0dde
a9b45b557890736879899bd4c5b74219b87b30827c4236fb986a34134badcbc5,0d62df241e51a5c5e9eebb1990a911a37bb84b24062f8b4bb47f48cebdd372eb,task1,2024-10-11 17:00:51+09:00,50,renewable,ag,Submitted,f47ac63416ac7437ecdccb8638b2e3f897dfc47f6d5651be784246ec8fb7635b
af48a46ad6a1345e5d6f7094fae8d196d722dd03e31fff89ed06d6f3a38d8ea4,8b42758dada8e2ab5752c7e37163a765fd0fcbbcdbf6a0bbe63fc55ddc4f0d5d,task2,2024-10-11 16:59:47+09:00,50,store,ag,Submitted,af6d9c96b33c27609459d9c06ec75ce5e4aa6e739c93c6b27c3a8661b20f1a4a
74bb055b3992aff68b7abaac4df1c02738c68017422fa3a2bb2e9351de86ab2c,8b42758dada8e2ab5752c7e37163a765fd0fcbbcdbf6a0bbe63fc55ddc4f0d5d,task2,2024-10-11 16:59:55+09:00,50,store,ag,Submitted,052d99fcf95e7b9888c6adb70f2ac6354ae2608cb04ede26cba05abcb33dbc62
817d3ad9f11cb14fc760f2b87008117f676f4ede6bc2ce5353b42b718ac1e8b2,8b42758dada8e2ab5752c7e37163a765fd0fcbbcdbf6a0bbe63fc55ddc4f0d5d,task2,2024-10-11 17:00:10+09:00,50,store,ag,Submitted,74dd40e3f855ac92fb8210c371825d63af9f12b78d8f91392cb1cf183a9cdfb6
757dafb55ca5c274c410a744626877307f964327d20536cdd9570ce669669256,8b42758dada8e2ab5752c7e37163a765fd0fcbbcdbf6a0bbe63fc55ddc4f0d5d,task2,2024-10-11 17:00:18+09:00,50,store,ag,Submitted,223f87c1bce719c1ebd992be208905d67208f34b729d64492a14369e7c66a5bb
1aeb58b18652a7d4bb24a8dacd7bdfdc7c0d5254fb46ac376d41d56045e1a2b5,8b42758dada8e2ab5752c7e37163a765fd0fcbbcdbf6a0bbe63fc55ddc4f0d5d,task2,2024-10-11 17:00:42+09:00,50,store,ag,Submitted,a4839da5f2800dcee3f6b5ce92876d25830ea4295e9f21f7097449beafc3cf0c
9cbd7b3d6c17fca0186b90eec95683f37ee5b40314cd830ab1e3b10fdaad21a5,0d62df241e51a5c5e9eebb1990a911a37bb84b24062f8b4bb47f48cebdd372eb,task1,2024-10-11 17:01:38+09:00,50,renewable,ag,Submitted,d519dfcb641222f2d4f87facf1ff5d5ed95af7113846a3e9cdeb3fbf9205bd27
d779406ee7343cbee65cd38535522aade4e3fdf7a2523d8337f5fdf7d22bad15,0d62df241e51a5c5e9eebb1990a911a37bb84b24062f8b4bb47f48cebdd372eb,task1,2024-10-11 17:02:03+09:00,50,renewable,ag,Submitted,a7b962b8b2264d2505a5677b63e6844a7f0e2ee680524a4e87322ff57fd9d1a9
34d2d137b34ba1019449056acb0ddc61f26d42520cf3608efead0c2f0831deef,0d62df241e51a5c5e9eebb1990a911a37bb84b24062f8b4bb47f48cebdd372eb,task1,2024-10-11 17:02:39+09:00,350,store,ag,Submitted,e570d427344f0cd77b52b43c902f3d0706ad54d6e4467d98bd984abafb008b39
9b29fe4912969a6e928d3ab07e1a6640f0829d7b484e25e684bb53bc81e9497b,8b42758dada8e2ab5752c7e37163a765fd0fcbbcdbf6a0bbe63fc55ddc4f0d5d,task2,2024-10-11 17:01:07+09:00,350,store,ag,Submitted,8e7cbe0d45d4fd5ea50d96204c1af617c9e28c076d697a25677397253321ca87
f6317f92028226ae506186b8f07e6eff43bb8bf20e0b950543433066bd395468,8b42758dada8e2ab5752c7e37163a765fd0fcbbcdbf6a0bbe63fc55ddc4f0d5d,task2,2024-10-11 17:01:11+09:00,50,renewable,ag,Submitted,950981b3f5cf1122748fa4eb7d51d6f2684f0bb113f73141184d995f348fe69e
3aa8d08b5624ed7d9e5ce0da11dad7127b72ab30c39400f5d4b33260667f285c,8b42758dada8e2ab5752c7e37163a765fd0fcbbcdbf6a0bbe63fc55ddc4f0d5d,task2,2024-10-11 17:01:13+09:00,350,store,ag,Submitted,3caab425ef958db3a5f13d236a0ef3f9947c916478dfd7da0a87793aa2baf2e1
258c6cd76bff1aabfabff7c14bdcb06621b83f2cb908f432c53aadc2aa753fd7,8b42758dada8e2ab5752c7e37163a765fd0fcbbcdbf6a0bbe63fc55ddc4f0d5d,task2,2024-10-11 17:01:17+09:00,50,renewable,be,Submitted,cf735a1c04358d07127769bd010591113819cb1feaf6cf48a3a66412219724ed
52b4a2521b322ce9dd20c784c78eed226432af8dfde3b794c118e4c7d277c8b3,8b42758dada8e2ab5752c7e37163a765fd0fcbbcdbf6a0bbe63fc55ddc4f0d5d,task2,2024-10-11 17:01:19+09:00,50,renewable,ag,Submitted,720d1ad0c8e3f13402d29ea63eb6a393230e6080ff73369f109ecb39da322282
f238f2394f83ae11a1dac038a77a90f235ed5a326466d1378d389a92784c952e,8b42758dada8e2ab5752c7e37163a765fd0fcbbcdbf6a0bbe63fc55ddc4f0d5d,task2,2024-10-11 17:01:23+09:00,350,store,ag,Submitted,68e31c5aed700b97a7dd3cf6da0d734bcc831d98c8438b4de893d4b34078749a
18783d42c365260c33f023f9d40089c0db1238568927303c4c9ca37fbafa016a,8b42758dada8e2ab5752c7e37163a765fd0fcbbcdbf6a0bbe63fc55ddc4f0d5d,task2,2024-10-11 17:01:33+09:00,350,store,ag,Submitted,a7ffe722a362b6ecdbeaf0f9326f594efa3e4983c5e8fa1f0fd8fff77aecdc60
2e29b5e8babef640d1e4e264365f5b5b6ac6486de24ad0434b8d4fd9c7afe0ff,8b42758dada8e2ab5752c7e37163a765fd0fcbbcdbf6a0bbe63fc55ddc4f0d5d,task2,2024-10-11 17:01:35+09:00,50,renewable,ag,Submitted,d661a18c5cb020fcde72d2a9700538c2daccf288c2d199e37cc3f0e92324e0e0
2991272180ed7d6977932167b4e3132d011c9cdd88e4f9afc22b6f0b1588fd4c,8b42758dada8e2ab5752c7e37163a765fd0fcbbcdbf6a0bbe63fc55ddc4f0d5d,task2,2024-10-11 17:01:39+09:00,50,store,ag,Submitted,305e405557d4034d31f4d865f3669afa0e5410213e6aca74228d16e46f47c9c6
e2416df48076b20dc6ffcff134db2167caba04e8428366e346f2f69ddd8e05c1,8b42758dada8e2ab5752c7e37163a765fd0fcbbcdbf6a0bbe63fc55ddc4f0d5d,task2,2024-10-11 17:01:46+09:00,350,store,be,Submitted,52c5d1698227b08885ca020ffd8268a5df57eabdc42c5d9913bc5d26d673993a
57599c9172dffe24e7a35344577cc17a00b36af3d50d2297da3be1219bb6e743,8b42758dada8e2ab5752c7e37163a765fd0fcbbcdbf6a0bbe63fc55ddc4f0d5d,task2,2024-10-11 17:01:50+09:00,50,renewable,ag,Submitted,c468d219287c9aef515b2fcc3ee1e5c14b84e3f52a33fa162f32333284c1950a
fdb0f1bbc23369c47a992db79381a5d2446b963c1f8e869b70dfabd688be35b0,8b42758dada8e2ab5752c7e37163a765fd0fcbbcdbf6a0bbe63fc55ddc4f0d5d,task2,2024-10-11 17:01:51+09:00,350,store,ag,Submitted,5e8e5afbf5d128009279a4646718212c178fba937c874e27695765fc374940e8
29ea03710e909b0838daa7085fc53911fdc300e8ed12cdcdaafaf7491581139b,8b42758dada8e2ab5752c7e37163a765fd0fcbbcdbf6a0bbe63fc55ddc4f0d5d,task2,2024-10-11 17:01:59+09:00,350,store,be,Submitted,56ad6e6869bc065f65cc553b8681a775c1bdf943330e77f7981b2795dbb21c01
f436af747886053eb0fb5ad591e86e5a875263df0443eb8751b1c65170ec647a,8b42758dada8e2ab5752c7e37163a765fd0fcbbcdbf6a0bbe63fc55ddc4f0d5d,task2,2024-10-11 17:02:08+09:00,350,store,ag,Submitted,bdd579087d415fb94e73f234b40548aee8fba7f3258e3ab326c6343725bfb13f
f05ff9d5ef19fa35e0f81e584710601620a712be007c35b23e10265c1897deff,8b42758dada8e2ab5752c7e37163a765fd0fcbbcdbf6a0bbe63fc55ddc4f0d5d,task2,2024-10-11 17:02:26+09:00,350,renewable,ag,Submitted,e6f06f8a7c3755fbbc6d49564cfcd6fa4e0223c7f8ca54735fadaa252d127f39
