workers,hits,score,submitTime,answer0,answer1,answer2,status,assignmentId
75e46d0d59e03b9bdff7452616d59b393407117cf4126906b5e20bf950508727,43f6ed2bae8bf3a8487c57322e80d69f6d59a81b9970df3f3b13e642a3b33139,stask2,2024-09-25 17:00:57+09:00,50,renewable,be,Submitted,b1dec1cf72f85a1b5b0460a0d5bd88c7e7e360eb700433a35ea34b9f3dc6f47f
6891cf09efa58709fbcc5aba0557bff415d5ebd3eef4082900074aeb888e6a79,43f6ed2bae8bf3a8487c57322e80d69f6d59a81b9970df3f3b13e642a3b33139,stask2,2024-09-25 17:00:59+09:00,50,renewable,be,Submitted,5279a7cdc7653bd3545ff6ff18e9d659356836bdcd109f008148da64e9a5c267
5e9e45913879dcc458aab63945d71f7ac7077d51828bec75c5a39ff9531d024e,43f6ed2bae8bf3a8487c57322e80d69f6d59a81b9970df3f3b13e642a3b33139,stask2,2024-09-25 17:01:01+09:00,350,renewable,ag,Submitted,cfd474177cad56813b1cd2e21851e6ab60985dc3782e5c070138f5503f05c31a
198b9e02ae1e3f0e0ed843e2fe042d60d6f8bfd9248ef10005b3638974c00f71,43f6ed2bae8bf3a8487c57322e80d69f6d59a81b9970df3f3b13e642a3b33139,stask2,2024-09-25 17:01:04+09:00,350,store,ag,Submitted,6a08da887d4be245b34dcea2f6e42b1c72e7e5f5d9bc045df6bb4711effc69aa
1480a3f41bac8fcb884d02650497be3072fdafa5061cd270ae097320e9129e64,43f6ed2bae8bf3a8487c57322e80d69f6d59a81b9970df3f3b13e642a3b33139,stask2,2024-09-25 17:01:05+09:00,350,store,ag,Submitted,040d2f997e221b89373dd1743b96464c4733d853df973d8b80efd0870648e5ff
71386de4addf4f7cf1097c1adee206bcc40c8aadda159878d9c527a84d958095,43f6ed2bae8bf3a8487c57322e80d69f6d59a81b9970df3f3b13e642a3b33139,stask2,2024-09-25 17:01:25+09:00,350,store,ag,Submitted,ad2aa058527f6a99bff39157c246b3222ac894df17db59298a1445458f036ea0
042a285e23fbcccdd580bddd89f5ba6df9909b47b1bed27c04af74b703413ebf,43f6ed2bae8bf3a8487c57322e80d69f6d59a81b9970df3f3b13e642a3b33139,stask2,2024-09-25 17:01:26+09:00,350,store,ag,Submitted,9db3db932fe71a1c8da5c7a8474797544336ee9c7435cf9e6f17b181dc3f4090
47a735cd228265832d1a1fb6d15c193f594df5bd836dfa8f93f7138f3be84f62,43f6ed2bae8bf3a8487c57322e80d69f6d59a81b9970df3f3b13e642a3b33139,stask2,2024-09-25 17:01:29+09:00,350,store,ag,Submitted,adc3f01b3a9ec34b5d8a4347b4599c086e491e0749d82adad098468c78822fee
8647fbeccc3cfdbc337c3d9decbcc7d6eeaec61637e9e8f250e87048ba2fb3a3,43f6ed2bae8bf3a8487c57322e80d69f6d59a81b9970df3f3b13e642a3b33139,stask2,2024-09-25 17:01:38+09:00,350,renewable,ag,Submitted,21915277b97e9b2a5645515e5ba0952409c9c728e32e6a3f3a12024819a57447
9811a480050c4be7831ed0f3a02e1b96749619643b6956ce725c276efa295f73,43f6ed2bae8bf3a8487c57322e80d69f6d59a81b9970df3f3b13e642a3b33139,stask2,2024-09-25 17:01:51+09:00,350,store,ag,Submitted,b2ef3cd624b0bfe2ed6d48e6fec2654674d9b62cab915d11976a24f701ad3f20
aa45e83edc86628ab56a4419f2a0dea786dc1e8ec8c0b9d47fa64cd87670da19,43f6ed2bae8bf3a8487c57322e80d69f6d59a81b9970df3f3b13e642a3b33139,stask2,2024-09-25 17:01:53+09:00,350,store,ag,Submitted,9071fe3f6ddeb8ba4810cdb7393ce5e16e7230c5b9dd0de2bfde49f8d9a238a3
484ebf640b6e089b0f4fac67f5cc70d1edb5b827a8aeac592c9b7a90def9a382,43f6ed2bae8bf3a8487c57322e80d69f6d59a81b9970df3f3b13e642a3b33139,stask2,2024-09-25 17:01:58+09:00,50,renewable,ag,Submitted,49500dccf72960baa5e065c14d2d0dec9ffc99f1135ee6fb496002709df4dbb1
2f5dd3622697aa64976ecba35a8a3e546b9cc7578392b56185bccd941dea7642,43f6ed2bae8bf3a8487c57322e80d69f6d59a81b9970df3f3b13e642a3b33139,stask2,2024-09-25 17:01:59+09:00,350,store,ag,Submitted,9ef82bb5379bc9efd871fd886c7eb29cb896791bbcd6db968696dfefd592514d
c2a6bccede01f7a6500bdc69a68d708721a73097370513a72005d3135651f298,43f6ed2bae8bf3a8487c57322e80d69f6d59a81b9970df3f3b13e642a3b33139,stask2,2024-09-25 17:02:14+09:00,350,store,be,Submitted,e221cbaae5c58d72df1d6bbc68df1ca587d612312a0eb33823beeb6556ccb63e
72cbb08caab0ba9d1078beedc5bc3e43aeca960f40c14b817bd2551621b9ce79,43f6ed2bae8bf3a8487c57322e80d69f6d59a81b9970df3f3b13e642a3b33139,stask2,2024-09-25 17:02:17+09:00,350,store,ag,Submitted,0da846977d7a6cb293db3e54e70e83515942342960c5686d1c1ca0d0b745cc5f
bb14dadda28cf47a18fa3dba9f8650158551ed0a24323eaec9fd0acca70eaa04,43f6ed2bae8bf3a8487c57322e80d69f6d59a81b9970df3f3b13e642a3b33139,stask2,2024-09-25 17:02:24+09:00,350,store,ag,Submitted,a1a9e07a79cb9458eb5747bd5d834e2d601e4eef7849774aecd4f194b1798d70
eb8aa4243144df592fdab17835e98999eb50d373815803d4bacb098f15304e6b,cdbb6f17abe722f65044a210d8ed33499c7e8640fb45371686064c4ce4251690,stask1,2024-09-25 17:02:41+09:00,350,store,ag,Submitted,6776e6c330f4993cd39d97ead0d9ee9944ec86bb1e81c8f9bab2ab0981e184f1
f2e87b31cffb4e6e35b59de64cdc5c16c2114e817496a33e0a22e40195ee3da8,43f6ed2bae8bf3a8487c57322e80d69f6d59a81b9970df3f3b13e642a3b33139,stask2,2024-09-25 17:02:27+09:00,350,store,be,Submitted,fcb665b5940382fcbf5a61608a8db15c4a205fd0555b592d3cb9da9d39b17100
bb0d398ab6a21a897b92775793fe3476e2f00e9837a7f888c007a67ed5709650,43f6ed2bae8bf3a8487c57322e80d69f6d59a81b9970df3f3b13e642a3b33139,stask2,2024-09-25 17:02:27+09:00,idk,store,ag,Submitted,a0f95a0901e51a5a4469f2524b49de76b1c0be4c4a9557ecae9f459c018f60a2
febe7447cbf65d4c629bbc426990edfdc4f6af7302fba2d27b58e7e4985b3496,43f6ed2bae8bf3a8487c57322e80d69f6d59a81b9970df3f3b13e642a3b33139,stask2,2024-09-25 17:02:29+09:00,350,store,ag,Submitted,07b0d86ab670d0bd1b076e70d3d33e88f8c2360a76e2f53dde160a3d26fb0cc8
217842fd10a8e2e2aef89a40c43bf20bda7888df82a7c36717399b96b2d6994d,43f6ed2bae8bf3a8487c57322e80d69f6d59a81b9970df3f3b13e642a3b33139,stask2,2024-09-25 17:02:44+09:00,idk,store,ag,Submitted,dc2c0e76139dc026c1aad5983c0a6586a9f3b5403872b4d71ae165cad5411133
5529e197e6e257936cab31180c85c8e1a520a2e6738769f3d5a3dc44a145ab14,43f6ed2bae8bf3a8487c57322e80d69f6d59a81b9970df3f3b13e642a3b33139,stask2,2024-09-25 17:02:45+09:00,50,store,ag,Submitted,cf8ff2063beb499865eb9d056b310624c9e8d1cd98a3afecfacade8726e89d75
35554ac1a2bf4e149c77b3ad2d3213735e4c59676a23f99b5c396eb473cd7bf7,43f6ed2bae8bf3a8487c57322e80d69f6d59a81b9970df3f3b13e642a3b33139,stask2,2024-09-25 17:03:15+09:00,50,store,ag,Submitted,1ff862d228c60b56d37993acdc479502b3d4463b36a2577f32a35147d1c8dbbf
304d3d927c70b16a7467b39e394a6d9e8f5aad7ba018db5c92a2a442913502f7,43f6ed2bae8bf3a8487c57322e80d69f6d59a81b9970df3f3b13e642a3b33139,stask2,2024-09-25 17:03:19+09:00,350,store,be,Submitted,fb6e2db651bae315473b841e3b5acea86c22fa1f0cd1c76b0be7bd05bbee2041
bd63850f0a6130a505c0651b6533bb0ac4b2ec9324fb66c699f490663477dc60,43f6ed2bae8bf3a8487c57322e80d69f6d59a81b9970df3f3b13e642a3b33139,stask2,2024-09-25 17:03:25+09:00,350,renewable,ag,Submitted,6b365b91eddf86c2da1a2dd8145dcee6c9ea99554e12fe5f5acbf6f012c03e10
d2e0ff7df64f22f6beb455af652d4835e3f3a7e34def922acec5fce698cea873,cdbb6f17abe722f65044a210d8ed33499c7e8640fb45371686064c4ce4251690,stask1,2024-09-25 17:03:21+09:00,350,store,ag,Submitted,a87e275060483e57e671ed8aadab3590e63c84dca2983505936010f3e4bebe61
